Gene ID,TOOL,PRODUCT
protein_cluster_1482,,hypothetical protein
protein_cluster_1483,PFAM,Protein of unknown function DUF2591
protein_cluster_1484,PFAM,Entericidin EcnAB
protein_cluster_1485,,hypothetical protein
protein_cluster_1486,HAMAP,Bifunctional protein folD
protein_cluster_1487,PFAM,Mu-like prophage FluMu protein gp41
protein_cluster_1488,,hypothetical protein
protein_cluster_1489,PFAM,shikimate kinase
protein_cluster_149,,hypothetical protein
protein_cluster_1490,,hypothetical protein
protein_cluster_1491,PFAM,plasmid stabilization system
protein_cluster_1492,PFAM,shufflon domain protein
protein_cluster_1493,PFAM,PTS system mannose/fructose/sorbose family IID component
protein_cluster_1494,PFAM,tRNA/rRNA methyltransferase (SpoU)
protein_cluster_1495,,hypothetical protein
protein_cluster_1496,,hypothetical protein
protein_cluster_1497,TIGR,mercuric resistence transcriptional repressor protein MerD
protein_cluster_1498,PFAM,outer membrane porin
protein_cluster_1499,,hypothetical protein
protein_cluster_15,,hypothetical protein
protein_cluster_150,PFAM,GCN5-related N-acetyltransferase
protein_cluster_1500,,hypothetical protein
protein_cluster_1501,PFAM,NLPA lipoprotein
protein_cluster_1502,,hypothetical protein
protein_cluster_1503,,hypothetical protein
protein_cluster_1504,TIGR,L-fucose transporter
protein_cluster_1505,PFAM,ThiJ/PfpI domain-containing protein
protein_cluster_1506,PFAM,glycoside hydrolase family 1
protein_cluster_1507,PFAM,protein of unknown function DUF1219
protein_cluster_1508,HAMAP,CDP-diacylglycerol pyrophosphatase
protein_cluster_1509,HAMAP,Chromosomal replication initiator protein dnaA
protein_cluster_151,HAMAP,Phosphoglycerate kinase
protein_cluster_1510,,hypothetical protein
protein_cluster_1511,,hypothetical protein
protein_cluster_1512,PFAM,integrase family protein
protein_cluster_1513,,hypothetical protein
protein_cluster_1514,PFAM,shikimate kinase
protein_cluster_1515,,hypothetical protein
protein_cluster_1516,,hypothetical protein
protein_cluster_1517,PFAM,response regulator receiver
protein_cluster_1518,PFAM,major facilitator superfamily MFS_1
protein_cluster_1519,,hypothetical protein
protein_cluster_152,HAMAP,Uracil-DNA glycosylase
protein_cluster_1520,PFAM,UbiC transcription regulator-associated domain-containing protein
protein_cluster_1521,,hypothetical protein
protein_cluster_1522,,hypothetical protein
protein_cluster_1523,,hypothetical protein
protein_cluster_1524,PFAM,protein of unknown function DUF6 transmembrane
protein_cluster_1525,PFAM,Appr-1-p processing domain protein
protein_cluster_1526,HAMAP,50S ribosomal protein L27
protein_cluster_1527,,hypothetical protein
protein_cluster_1528,PFAM,flagellar hook-associated 2 domain-containing protein
protein_cluster_1529,,hypothetical protein
protein_cluster_153,,hypothetical protein
protein_cluster_1530,HAMAP,Transaldolase
protein_cluster_1531,PFAM,protein of unknown function DUF1451
protein_cluster_1532,PFAM,sugar diacid recognition domain protein
protein_cluster_1533,PFAM,major facilitator superfamily MFS_1
protein_cluster_1534,,hypothetical protein
protein_cluster_1535,,hypothetical protein
protein_cluster_1536,TIGR,malonyl CoA-acyl carrier protein transacylase
protein_cluster_1537,,hypothetical protein
protein_cluster_1538,PFAM,cobalbumin biosynthesis protein
protein_cluster_1539,HAMAP,UPF0756 membrane protein yeaL
protein_cluster_154,PFAM,KDPG and KHG aldolase
protein_cluster_1540,PFAM,Redoxin domain protein
protein_cluster_1541,PFAM,tail assembly chaperone gp38
protein_cluster_1542,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_1543,,hypothetical protein
protein_cluster_1544,TIGR,"type VI secretion protein, EvpB/VC_A0108 family"
protein_cluster_1545,PFAM,regulatory protein DeoR
protein_cluster_1546,PFAM,sodium:alanine symporter
protein_cluster_1547,PFAM,NinB family protein
protein_cluster_1548,,hypothetical protein
protein_cluster_1549,PFAM,MASE1 domain protein
protein_cluster_155,PFAM,polarity suppression protein
protein_cluster_1550,TIGR,single-stranded-DNA-specific exonuclease RecJ
protein_cluster_1551,PFAM,ABC transporter related protein
protein_cluster_1552,,hypothetical protein
protein_cluster_1553,HAMAP,UPF0207 protein yfbR
protein_cluster_1554,PFAM,major facilitator superfamily MFS_1
protein_cluster_1555,PFAM,protein of unknown function DUF1422
protein_cluster_1556,,hypothetical protein
protein_cluster_1557,HAMAP,UPF0263 protein yciU
protein_cluster_1558,,hypothetical protein
protein_cluster_1559,,hypothetical protein
protein_cluster_156,,hypothetical protein
protein_cluster_1560,HAMAP,HTH-type transcriptional repressor fabR
protein_cluster_1561,PFAM,protein of unknown function zinc metallopeptidase
protein_cluster_1562,,hypothetical protein
protein_cluster_1563,PFAM,nucleoside recognition domain protein
protein_cluster_1564,TIGR,flagellar biosynthetic protein FlhB
protein_cluster_1565,PFAM,DinI family protein
protein_cluster_1566,TIGR,protein TolQ
protein_cluster_1567,,hypothetical protein
protein_cluster_1568,PFAM,Ribose/galactose isomerase
protein_cluster_1569,HAMAP,UPF0145 protein ybjQ
protein_cluster_157,,hypothetical protein
protein_cluster_1570,,hypothetical protein
protein_cluster_1571,HAMAP,Phosphatidylserine decarboxylase proenzyme
protein_cluster_1572,,hypothetical protein
protein_cluster_1573,PFAM,"Type IV / VI secretion system, DotU"
protein_cluster_1574,PFAM,protein of unknown function DUF1375
protein_cluster_1575,,hypothetical protein
protein_cluster_1576,TIGR,"HAD superfamily (subfamily IIIB) phosphatase, TIGR01672"
protein_cluster_1577,TIGR,cell division protein FtsN
protein_cluster_1578,PFAM,Tetracycline transcriptional repressor MAATS-type  domain-containing protein
protein_cluster_1579,TIGR,2-methylcitrate dehydratase
protein_cluster_158,,hypothetical protein
protein_cluster_1580,,hypothetical protein
protein_cluster_1581,TIGR,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
protein_cluster_1582,TIGR,"phage major capsid protein, P2 family"
protein_cluster_1583,PFAM,protein of unknown function DUF1323
protein_cluster_1584,,hypothetical protein
protein_cluster_1585,,hypothetical protein
protein_cluster_1586,PFAM,transporter-associated region
protein_cluster_1587,,hypothetical protein
protein_cluster_1588,TIGR,isocitrate lyase
protein_cluster_1589,PFAM,MscS Mechanosensitive ion channel
protein_cluster_159,PFAM,protein of unknown function UPF0047
protein_cluster_1590,PFAM,Integrase catalytic region
protein_cluster_1591,PFAM,Prevent-host-death protein
protein_cluster_1592,TIGR,asparagine synthase (glutamine-hydrolyzing)
protein_cluster_1593,,hypothetical protein
protein_cluster_1594,HAMAP,p-hydroxybenzoic acid efflux pump subunit AaeB
protein_cluster_1595,,hypothetical protein
protein_cluster_1596,PFAM,Cobyrinic acid ac-diamide synthase
protein_cluster_1597,,hypothetical protein
protein_cluster_1598,PFAM,Pili assembly chaperone
protein_cluster_1599,,hypothetical protein
protein_cluster_16,PFAM,ABC transporter related protein
protein_cluster_160,PFAM,DEAD/DEAH box helicase domain protein
protein_cluster_1600,PFAM,cobalamin synthesis protein P47K
protein_cluster_1601,PFAM,GPR1/FUN34/yaaH family protein
protein_cluster_1602,TIGR,aminodeoxychorismate lyase
protein_cluster_1603,PFAM,response regulator receiver
protein_cluster_1604,HAMAP,o-succinylbenzoate synthase
protein_cluster_1605,PFAM,regulatory protein Rha family
protein_cluster_1606,,hypothetical protein
protein_cluster_1607,PFAM,ribulose-phosphate 3-epimerase
protein_cluster_1608,TIGR,"formate dehydrogenase, beta subunit"
protein_cluster_1609,HAMAP,3-demethylubiquinone-9 3-methyltransferase
protein_cluster_161,PFAM,LysR substrate-binding protein
protein_cluster_1610,HAMAP,30S ribosomal protein S10
protein_cluster_1611,PFAM,ABC transporter related protein
protein_cluster_1612,,hypothetical protein
protein_cluster_1613,HAMAP,Thiol:disulfide interchange protein dsbD
protein_cluster_1614,PFAM,response regulator receiver
protein_cluster_1615,HAMAP,Glutathione-regulated potassium-efflux system protein kefC
protein_cluster_1616,PFAM,Fimbrial protein
protein_cluster_1617,,hypothetical protein
protein_cluster_1618,PFAM,protein of unknown function DUF847
protein_cluster_1619,,hypothetical protein
protein_cluster_162,,hypothetical protein
protein_cluster_1620,PFAM,Lambda NinG family protein
protein_cluster_1621,,hypothetical protein
protein_cluster_1622,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_1623,,hypothetical protein
protein_cluster_1624,,hypothetical protein
protein_cluster_1625,,hypothetical protein
protein_cluster_1626,PFAM,anaerobic c4-dicarboxylate membrane transporter
protein_cluster_1627,HAMAP,Disulfide bond formation protein B
protein_cluster_1628,,hypothetical protein
protein_cluster_1629,,hypothetical protein
protein_cluster_163,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_1630,PFAM,Pili assembly chaperone
protein_cluster_1631,PFAM,integrase family protein
protein_cluster_1632,HAMAP,Flagellar hook-basal body complex protein fliE
protein_cluster_1633,,hypothetical protein
protein_cluster_1634,PFAM,Fimbrial protein
protein_cluster_1635,,hypothetical protein
protein_cluster_1636,TIGR,copper-translocating P-type ATPase
protein_cluster_1637,PFAM,Precorrin-8X methylmutase CbiC/CobH
protein_cluster_1638,PFAM,Protein of unknown function DUF3596
protein_cluster_1639,TIGR,type VI secretion system OmpA/MotB family protein
protein_cluster_164,,hypothetical protein
protein_cluster_1640,PFAM,"ABC-type transporter, periplasmic subunit"
protein_cluster_1641,TIGR,type III secretion regulator YopN/LcrE/InvE/MxiC
protein_cluster_1642,PFAM,PTS system fructose subfamily IIA component
protein_cluster_1643,PFAM,"putative protein family, inner membrane YaiY"
protein_cluster_1644,PFAM,major facilitator superfamily MFS_1
protein_cluster_1645,,hypothetical protein
protein_cluster_1646,PFAM,DNA methylase N-4/N-6 domain protein
protein_cluster_1647,TIGR,O-succinylhomoserine (thiol)-lyase
protein_cluster_1648,PFAM,protein of unknown function DUF296
protein_cluster_1649,HAMAP,Gamma-glutamyl phosphate reductase
protein_cluster_165,TIGR,"type VI secretion ATPase, ClpV1 family"
protein_cluster_1650,PFAM,nitrogen regulatory protein P-II
protein_cluster_1651,HAMAP,UPF0194 membrane protein ybhG
protein_cluster_1652,PFAM,TonB-dependent receptor
protein_cluster_1653,,hypothetical protein
protein_cluster_1654,PFAM,dihydrodipicolinate synthetase
protein_cluster_1655,PFAM,Tetratricopeptide TPR_1 repeat-containing protein
protein_cluster_1656,,hypothetical protein
protein_cluster_1657,PFAM,metallophosphoesterase
protein_cluster_1658,TIGR,flagellar biosynthetic protein FliO
protein_cluster_1659,,hypothetical protein
protein_cluster_166,,hypothetical protein
protein_cluster_1660,PFAM,regulatory protein TetR
protein_cluster_1661,,hypothetical protein
protein_cluster_1662,PFAM,filamentation induced by cAMP protein Fic
protein_cluster_1663,PFAM,Fimbrial protein
protein_cluster_1664,PFAM,Hpt domain protein
protein_cluster_1665,PFAM,phosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2
protein_cluster_1666,PFAM,protein of unknown function UCP030771
protein_cluster_1667,HAMAP, lipid kinase yegS
protein_cluster_1668,TIGR,pyruvate kinase
protein_cluster_1669,,hypothetical protein
protein_cluster_167,,hypothetical protein
protein_cluster_1670,PFAM,invasin protein C
protein_cluster_1671,PFAM,AFG1-family ATPase
protein_cluster_1672,PFAM,protein of unknown function UPF0044
protein_cluster_1673,PFAM,short-chain dehydrogenase/reductase SDR
protein_cluster_1674,PFAM,sulfatase
protein_cluster_1675,PFAM,Arsenical resistance operon trans-acting repressor ArsD
protein_cluster_1676,PFAM,"4Fe-4S ferredoxin, iron-sulpur binding domain-containing protein"
protein_cluster_1677,PFAM,head completion protein
protein_cluster_1678,PFAM,PsiF repeat-containing protein
protein_cluster_1679,PFAM,"Peptidase S24/S26A/S26B, conserved region"
protein_cluster_168,PFAM,Integral membrane protein TerC
protein_cluster_1680,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_1681,HAMAP,50S ribosomal protein L25
protein_cluster_1682,PFAM,leucine-rich repeat-containing protein
protein_cluster_1683,,hypothetical protein
protein_cluster_1684,HAMAP,ATP-dependent Clp protease proteolytic subunit
protein_cluster_1685,,hypothetical protein
protein_cluster_1686,,hypothetical protein
protein_cluster_1687,HAMAP,N-acetylmannosamine kinase
protein_cluster_1688,TIGR,"ferredoxin, 2Fe-2S type, ISC system"
protein_cluster_1689,PFAM,Mandelate racemase/muconate lactonizing protein
protein_cluster_169,PFAM,Mannitol repressor
protein_cluster_1690,,hypothetical protein
protein_cluster_1691,,hypothetical protein
protein_cluster_1692,HAMAP,Arginyl-tRNA synthetase
protein_cluster_1693,PFAM,minor tail U
protein_cluster_1694,PFAM,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase
protein_cluster_1695,HAMAP,Fatty acid oxidation complex subunit alpha
protein_cluster_1696,,hypothetical protein
protein_cluster_1697,PFAM,NADH dehydrogenase (ubiquinone) 30 kDa subunit
protein_cluster_1698,PFAM,Mandelate racemase/muconate lactonizing protein
protein_cluster_1699,PFAM,Alcohol dehydrogenase GroES domain protein
protein_cluster_17,PFAM,plasmid replicase
protein_cluster_170,,hypothetical protein
protein_cluster_1700,PFAM,iron-containing alcohol dehydrogenase
protein_cluster_1701,,hypothetical protein
protein_cluster_1702,,hypothetical protein
protein_cluster_1703,PFAM,ATP-citrate lyase/succinyl-CoA ligase
protein_cluster_1704,HAMAP,tRNA (cmo5U34)-methyltransferase
protein_cluster_1705,,hypothetical protein
protein_cluster_1706,PFAM,LysR substrate-binding protein
protein_cluster_1707,,hypothetical protein
protein_cluster_1708,PFAM,tail assembly chaperone gp38
protein_cluster_1709,TIGR,"type IVB pilus formation outer membrane protein, R64 PilN family"
protein_cluster_171,,hypothetical protein
protein_cluster_1710,,hypothetical protein
protein_cluster_1711,HAMAP,ECA polymerase
protein_cluster_1712,,hypothetical protein
protein_cluster_1713,,hypothetical protein
protein_cluster_1714,PFAM,YodA domain-containing protein
protein_cluster_1715,PFAM,MscS Mechanosensitive ion channel
protein_cluster_1716,PFAM,glycoside hydrolase family 24
protein_cluster_1717,TIGR,phage tail protein I
protein_cluster_1718,PFAM,"Phage P4, Ash protein"
protein_cluster_1719,PFAM,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase
protein_cluster_172,,hypothetical protein
protein_cluster_1720,,hypothetical protein
protein_cluster_1721,,hypothetical protein
protein_cluster_1722,TIGR,ribosomal protein L14
protein_cluster_1723,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_1724,TIGR,L-fuculose phosphate aldolase
protein_cluster_1725,,hypothetical protein
protein_cluster_1726,,hypothetical protein
protein_cluster_1727,HAMAP,UPF0502 protein yceH
protein_cluster_1728,,hypothetical protein
protein_cluster_1729,PFAM,heat shock protein DnaJ domain protein
protein_cluster_173,PFAM,thiamine pyrophosphate TPP-binding domain-containing protein
protein_cluster_1730,,hypothetical protein
protein_cluster_1731,PFAM,"ABC-type transporter, periplasmic subunit  family 3"
protein_cluster_1732,,hypothetical protein
protein_cluster_1733,PFAM,"Di-heme cytochrome, transmembrane"
protein_cluster_1734,PFAM,protein of unknown function DUF1778
protein_cluster_1735,PFAM,protein of unknown function DUF891
protein_cluster_1736,,hypothetical protein
protein_cluster_1737,PFAM,EAL domain-containing protein
protein_cluster_1738,,hypothetical protein
protein_cluster_1739,PFAM,helix-turn-helix protein RpiR
protein_cluster_174,,hypothetical protein
protein_cluster_1740,TIGR,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
protein_cluster_1741,PFAM,Cold-shock protein DNA-binding protein
protein_cluster_1742,,hypothetical protein
protein_cluster_1743,,hypothetical protein
protein_cluster_1744,,hypothetical protein
protein_cluster_1745,,hypothetical protein
protein_cluster_1746,,hypothetical protein
protein_cluster_1747,TIGR,iojap-like protein
protein_cluster_1748,,hypothetical protein
protein_cluster_1749,,hypothetical protein
protein_cluster_175,,hypothetical protein
